ax,ay,az,gx,gy,gz
1.0119,10.5384,-3.5514,1.5246,-0.1791,-0.0729
0.8667,10.8897,-3.5882,1.5061,-0.1727,-0.0783
0.6432,11.0868,-4.1616,1.5199,-0.1491,-0.0536
0.4185,10.8689,-4.8549,1.6047,-0.1515,0.0072
0.1349,10.5213,-5.5279,1.6834,-0.1955,0.0632
-0.0994,10.0805,-5.9629,1.7056,-0.28,0.1291
0.0682,10.1086,-6.2623,1.6479,-0.2231,0.1552
-0.1915,10.3261,-6.6612,1.4755,-0.1118,0.1573
-0.3508,11.0459,-7.1332,1.1876,0.0255,0.1155
-0.2453,11.7976,-7.5896,0.8792,0.1612,0.0652
0.4362,12.6342,-7.4142,0.5995,0.1975,0.0289
1.2113,13.2436,-7.3859,0.3788,0.1902,0.0218
1.7902,13.6473,-7.5102,0.3978,0.1185,0.0078
2.6127,13.5756,-7.8142,0.4511,-0.0139,-0.0084
3.1055,13.4319,-8.4082,0.5745,-0.2201,-0.0015
3.1338,13.4752,-8.9868,0.749,-0.4932,-0.0028
2.9577,13.2951,-9.4771,0.8529,-0.7488,-0.0143
2.2806,13.2455,-9.8692,0.852,-0.867,-0.0318
1.3851,13.5488,-9.9477,0.6881,-0.8205,-0.0752
0.1092,13.7976,-9.5907,0.4296,-0.6883,-0.0967
-0.977,13.8459,-9.2942,0.2842,-0.4092,-0.15
-1.0965,14.1829,-9.7571,0.1517,-0.1689,-0.1818
-0.505,14.8031,-10.3836,0.026,-0.1234,-0.1621
0.5076,15.7109,-11.0969,-0.0449,-0.1437,-0.1231
1.4976,16.2939,-11.9654,-0.1118,-0.1496,-0.0837
2.0168,16.3398,-12.4054,-0.1102,-0.1886,-0.0525
2.2117,16.2547,-12.2279,-0.1779,-0.2387,-0.0475
2.0764,16.1378,-11.8589,-0.2914,-0.3224,-0.0535
1.7296,16.2251,-10.9608,-0.3991,-0.4254,-0.0541
1.3327,16.6872,-10.5712,-0.5562,-0.4726,-0.0514
0.9638,17.4795,-10.7143,-0.6768,-0.5007,-0.0362
0.5484,18.1595,-10.6523,-0.6973,-0.4611,-0.0172
0.4041,18.3013,-10.7236,-0.639,-0.381,-0.003
0.3864,18.0679,-10.8804,-0.5836,-0.3682,0.0098
0.1545,17.7085,-10.9218,-0.5909,-0.4242,0.0032
-0.1729,17.3947,-10.8875,-0.665,-0.4451,-0.0115
-0.3932,17.1882,-10.4845,-0.7611,-0.3665,-0.0386
-0.3943,16.9166,-10.123,-0.8794,-0.2091,-0.0876
-0.2183,16.5488,-9.7543,-0.9958,-0.079,-0.1317
-0.1338,16.1735,-9.063,-1.098,0.0009,-0.1476
-0.2474,16.0282,-8.4667,-1.2313,0.0419,-0.1444
-0.3499,16.2367,-8.536,-1.3306,0.0522,-0.119
-0.2581,16.6106,-8.2663,-1.3678,0.0527,-0.071
-0.1135,16.8616,-7.9642,-1.4503,0.1295,-0.0081
-0.5185,16.9971,-7.6303,-1.4092,0.1735,0.0499
0.1393,17.1512,-7.4692,-1.3314,0.271,0.0778
0.2463,16.9188,-7.9253,-1.2589,0.2966,0.0941
-0.3546,16.5835,-7.8356,-1.3682,0.224,0.0966
-0.9376,16.9603,-7.732,-1.6985,0.1844,0.0804
-0.9581,17.6356,-7.2687,-2.0062,0.2786,0.0236
-0.6516,18.2963,-7.0635,-2.2311,0.487,-0.0414
-0.2807,18.8744,-6.7135,-2.4502,0.6596,-0.0716
0.3424,19.1199,-6.2226,-2.7762,0.6893,-0.109
0.9062,19.1443,-5.3886,-3.0466,0.6591,-0.1025
0.8826,19.2659,-4.0914,-3.3149,0.5788,-0.073
1.0107,19.6838,-2.723,-3.5949,0.5911,-0.0309
0.937,20.3355,-1.9259,-3.8023,0.6218,-0.0099
1.1308,20.2852,-0.9554,-3.8215,0.5855,-0.0399
1.1188,18.9112,-0.3826,-3.6036,0.5279,-0.0782
1.0821,18.3591,0.6567,-3.4076,0.3702,-0.0764
0.9353,18.57,0.3384,-3.5254,0.1541,-0.1111
0.1856,17.3459,-1.7742,-3.2869,-0.1191,-0.1746
-0.792,15.0867,-3.111,-2.7481,-0.3072,-0.1788
-1.6968,11.7416,-4.2062,-2.6743,-0.2926,-0.1688
-1.9669,7.7688,-5.6921,-2.7556,-0.0966,-0.1372
-1.4962,3.6669,-7.181,-2.6207,0.3104,-0.1921
-1.1776,-0.1957,-9.7637,-2.4435,0.6969,-0.2576
-0.2752,-2.532,-13.8848,-2.0172,0.7172,-0.2113
1.2736,-2.7373,-18.0286,-1.1823,0.5246,-0.0793
2.7221,-2.2971,-19.4242,-0.1841,0.1319,0.0851
3.1354,-1.0345,-17.7238,0.397,-0.2169,0.2049
2.8248,1.3027,-15.6687,0.4477,-0.4335,0.2329
2.618,0.9728,-12.1782,0.5546,-0.4138,0.2335
2.5114,-0.3164,-8.6636,0.4372,-0.2187,0.2238
2.0504,-1.2178,-5.2814,0.2187,-0.0258,0.2175
1.1713,-1.7261,-1.7184,0.1249,0.1231,0.2019
0.5505,-1.2829,-0.7004,0.22,0.2635,0.1711
0.7677,-1.3334,0.0943,0.5264,0.2012,0.1511
0.7521,-1.0624,1.649,0.5916,-0.1595,0.18
-0.0145,-0.6248,2.973,0.6225,-0.4835,0.2113
-0.6938,-0.2898,3.9551,0.8831,-0.5675,0.2225
-1.4023,0.296,4.2335,1.0743,-0.5334,0.2483
-2.0285,0.7054,4.1892,1.0984,-0.4709,0.2505
